dataset,window_idx,persona,history_length,horizon,overall_consistency,is_consistent,contradiction_rate,semantic_vs_template,num_sentences,mase,mase_first,fair_mase,coverage_pct,interval_sharpness,rst_relations,top_covariate,top_covariate_impact_pct
Weather,48,executive,512,96,0.630651926000913,False,0.16666666666666666,0.7969679832458496,6,0.8412583684365722,0.17390131998244887,0.6371791761003934,91.66666666666666,0.45623076048922234,"elaboration,cause",temp_min,36.426873391109964
Weather,49,analyst,512,96,0.8255255421002706,True,0.0,0.893113666362385,6,0.8625369069316462,0.9503572918419969,0.6945756729149988,89.58333333333334,0.41911627180208033,"elaboration,cause",temp_min,37.71576770959511
Weather,49,executive,512,96,0.705736979842186,True,0.0,0.7626038789749146,4,0.8625369069316462,0.9503572918419969,0.6945756729149988,89.58333333333334,0.41911627180208033,"elaboration,cause",temp_min,37.71576770959511
Weather,50,analyst,512,96,0.8047876477241516,True,0.0,0.8878186941146851,5,0.8973532115543973,0.7112891112644065,0.4541214757679239,91.66666666666666,0.39779897375804624,"elaboration,cause",temp_min,37.24005933508367
Weather,50,executive,512,96,0.741285614669323,True,0.0,0.8464965637322144,4,0.8973532115543973,0.7112891112644065,0.4541214757679239,91.66666666666666,0.39779897375804624,"elaboration,cause",temp_min,37.24005933508367
Weather,51,analyst,512,96,0.7973958134651185,True,0.0,0.8682427406311035,5,0.8990766673845043,0.2600994258787156,0.6174149817333455,90.625,0.404819360399634,"elaboration,cause",temp_min,35.97792499224205
Weather,51,executive,512,96,0.5842665135860443,False,0.0,0.7774136662483215,5,0.8990766673845043,0.2600994258787156,0.6174149817333455,90.625,0.404819360399634,"elaboration,cause",temp_min,35.97792499224205
Weather,52,analyst,512,96,0.7181759119033814,True,0.2,0.8737927003975332,5,0.9641901575801481,0.22877374295031722,0.6068341036575574,86.45833333333334,0.37989872518965156,"elaboration,cause",temp_min,37.05422051237982
Weather,52,executive,512,96,0.7119407296180725,True,0.2,0.8376551173719834,5,0.9641901575801481,0.22877374295031722,0.6068341036575574,86.45833333333334,0.37989872518965156,"elaboration,cause",temp_min,37.05422051237982
Weather,53,analyst,512,96,0.8490318179130554,True,0.0,0.8345826169599663,5,0.9866233455639253,0.5945567975786671,0.6363757537209078,85.41666666666666,0.37780108036973925,"elaboration,cause",temp_min,37.42622080686092
Weather,53,executive,512,96,0.7374813556671143,True,0.0,0.842857172659467,4,0.9866233455639253,0.5945567975786671,0.6363757537209078,85.41666666666666,0.37780108036973925,"elaboration,cause",temp_min,37.42622080686092
Weather,54,analyst,512,96,0.7509243736664454,True,0.0,0.8869860172271729,6,0.9408540889826138,0.8046955883176637,0.654736488849133,89.58333333333334,0.3804015192078774,"elaboration,cause",temp_min,37.23579622735145
Weather,54,executive,512,96,0.68028125166893,False,0.0,0.8142237552537772,5,0.9408540889826138,0.8046955883176637,0.654736488849133,89.58333333333334,0.3804015192078774,"elaboration,cause",temp_min,37.23579622735145
Weather,55,analyst,512,96,0.8418184757232666,True,0.0,0.8807647966426854,5,0.9800538343636209,1.0291835143119943,0.3751899951779052,89.58333333333334,0.3847237380328157,"elaboration,cause",temp_min,36.990752373210576
Weather,55,executive,512,96,0.7741148889064788,True,0.2,0.8593966877100878,5,0.9800538343636209,1.0291835143119943,0.3751899951779052,89.58333333333334,0.3847237380328157,"elaboration,cause",temp_min,36.990752373210576
Weather,56,analyst,512,96,0.7742251276969909,True,0.0,0.8847014904022217,5,0.9888762296852586,0.272552596057732,0.5917304410577825,86.45833333333334,0.39586377367049064,"elaboration,cause",temp_min,38.52658951963485
